threshold,precision,recall,tp,fp,fn,method,kernel_stddev
0.05338296661286338,0.3115942028985507,1.0,43,95,0,original_BAME,NaN
0.05317653126277203,0.30935251798561153,1.0,43,96,0,original_BAME,NaN
0.049000761269559864,0.30714285714285716,1.0,43,97,0,original_BAME,NaN
0.04880567507641838,0.3049645390070922,1.0,43,98,0,original_BAME,NaN
0.04701444313888963,0.3028169014084507,1.0,43,99,0,original_BAME,NaN
0.046980662007007845,0.3006993006993007,1.0,43,100,0,original_BAME,NaN
0.0460404980594868,0.2986111111111111,1.0,43,101,0,original_BAME,NaN
0.043471689003955004,0.296551724137931,1.0,43,102,0,original_BAME,NaN
0.0395274500438357,0.2945205479452055,1.0,43,103,0,original_BAME,NaN
0.03730574516508078,0.2925170068027211,1.0,43,104,0,original_BAME,NaN
0.036575951797545685,0.2905405405405405,1.0,43,105,0,original_BAME,NaN
0.03601315561126419,0.28859060402684567,1.0,43,106,0,original_BAME,NaN
0.034952864086026394,0.2866666666666667,1.0,43,107,0,original_BAME,NaN
0.034656517127828,0.2847682119205298,1.0,43,108,0,original_BAME,NaN
0.03451357669235436,0.28289473684210525,1.0,43,109,0,original_BAME,NaN
0.03414707764833595,0.28104575163398693,1.0,43,110,0,original_BAME,NaN
0.03349724598201937,0.2792207792207792,1.0,43,111,0,original_BAME,NaN
0.033446620806870234,0.27741935483870966,1.0,43,112,0,original_BAME,NaN
0.03302432721439644,0.27564102564102566,1.0,43,113,0,original_BAME,NaN
0.03299974811299127,0.27388535031847133,1.0,43,114,0,original_BAME,NaN
0.03171743643165481,0.2721518987341772,1.0,43,115,0,original_BAME,NaN
0.03063204656968764,0.27044025157232704,1.0,43,116,0,original_BAME,NaN
0.02907940523950953,0.26875,1.0,43,117,0,original_BAME,NaN
0.028360974542065855,0.2670807453416149,1.0,43,118,0,original_BAME,NaN
0.026842934060689105,0.2654320987654321,1.0,43,119,0,original_BAME,NaN
0.024635317016933927,0.26380368098159507,1.0,43,120,0,original_BAME,NaN
0.02400180994747808,0.2621951219512195,1.0,43,121,0,original_BAME,NaN
0.02340296868181111,0.2606060606060606,1.0,43,122,0,original_BAME,NaN
0.022729688397254155,0.25903614457831325,1.0,43,123,0,original_BAME,NaN
0.022580865675891616,0.25748502994011974,1.0,43,124,0,original_BAME,NaN
0.02190802387960779,0.25595238095238093,1.0,43,125,0,original_BAME,NaN
0.0218585104810771,0.25443786982248523,1.0,43,126,0,original_BAME,NaN
0.02185751556341144,0.2529411764705882,1.0,43,127,0,original_BAME,NaN
0.018566647550406608,0.25146198830409355,1.0,43,128,0,original_BAME,NaN
0.01786515007727586,0.25,1.0,43,129,0,original_BAME,NaN
0.016690775790629088,0.24855491329479767,1.0,43,130,0,original_BAME,NaN
0.01559059050212349,0.2471264367816092,1.0,43,131,0,original_BAME,NaN
0.014174340116999003,0.24571428571428572,1.0,43,132,0,original_BAME,NaN
0.012760877563812544,0.24431818181818182,1.0,43,133,0,original_BAME,NaN
0.011163366348352799,0.24293785310734464,1.0,43,134,0,original_BAME,NaN
0.010558090214403801,0.24157303370786518,1.0,43,135,0,original_BAME,NaN
0.0099794307184641,0.24022346368715083,1.0,43,136,0,original_BAME,NaN
0.00896498675550966,0.2388888888888889,1.0,43,137,0,original_BAME,NaN
0.008675880021399572,0.23756906077348067,1.0,43,138,0,original_BAME,NaN
0.008162110641857786,0.23626373626373626,1.0,43,139,0,original_BAME,NaN
0.007634214989715687,0.23497267759562843,1.0,43,140,0,original_BAME,NaN
0.0072136566276081535,0.23369565217391305,1.0,43,141,0,original_BAME,NaN
0.006072033495787522,0.23243243243243245,1.0,43,142,0,original_BAME,NaN
0.005577470645451058,0.23118279569892472,1.0,43,143,0,original_BAME,NaN
0.005479360886589808,0.22994652406417113,1.0,43,144,0,original_BAME,NaN
0.005059285090250986,0.22872340425531915,1.0,43,145,0,original_BAME,NaN
0.00458734066329062,0.2275132275132275,1.0,43,146,0,original_BAME,NaN
0.0038860398473967344,0.22631578947368422,1.0,43,147,0,original_BAME,NaN
0.003418845628985205,0.225130890052356,1.0,43,148,0,original_BAME,NaN
0.0029259724557269395,0.22395833333333334,1.0,43,149,0,original_BAME,NaN
0.002692297415560369,0.22279792746113988,1.0,43,150,0,original_BAME,NaN
0.0026793635770573578,0.22164948453608246,1.0,43,151,0,original_BAME,NaN
0.0024727724298521754,0.2205128205128205,1.0,43,152,0,original_BAME,NaN
0.0023282601137223457,0.2193877551020408,1.0,43,153,0,original_BAME,NaN
0.0022836091833872965,0.2182741116751269,1.0,43,154,0,original_BAME,NaN
0.0019101808414906103,0.21717171717171718,1.0,43,155,0,original_BAME,NaN
0.0017273658476448265,0.21608040201005024,1.0,43,156,0,original_BAME,NaN
0.001277170362412787,0.215,1.0,43,157,0,original_BAME,NaN
0.0012107093112501666,0.21393034825870647,1.0,43,158,0,original_BAME,NaN
0.0011757726161597544,0.21287128712871287,1.0,43,159,0,original_BAME,NaN
0.001024035633901529,0.21182266009852216,1.0,43,160,0,original_BAME,NaN
0.0008730440832959316,0.2107843137254902,1.0,43,161,0,original_BAME,NaN
0.0007228769724225785,0.2097560975609756,1.0,43,162,0,original_BAME,NaN
0.00020961887967080501,0.2087378640776699,1.0,43,163,0,original_BAME,NaN
-Inf,0.2087378640776699,1.0,43,163,0,original_BAME,NaN
