threshold,tpr,fpr,tp,fp,fn,tn,method,kernel_stddev
0.09318736529125504,0.9534883720930233,0.38650306748466257,41,63,2,100,original_BAME,NaN
0.09285385977690808,0.9534883720930233,0.39263803680981596,41,64,2,99,original_BAME,NaN
0.09038596615339559,0.9534883720930233,0.3987730061349693,41,65,2,98,original_BAME,NaN
0.08915842028921243,0.9534883720930233,0.4049079754601227,41,66,2,97,original_BAME,NaN
0.08705997318189991,0.9534883720930233,0.4110429447852761,41,67,2,96,original_BAME,NaN
0.08683887178356584,0.9534883720930233,0.4171779141104294,41,68,2,95,original_BAME,NaN
0.08627918847814757,0.9534883720930233,0.4233128834355828,41,69,2,94,original_BAME,NaN
0.08536935440588138,0.9534883720930233,0.4294478527607362,41,70,2,93,original_BAME,NaN
0.08199856092508781,0.9534883720930233,0.43558282208588955,41,71,2,92,original_BAME,NaN
0.08119135978348668,0.9534883720930233,0.44171779141104295,41,72,2,91,original_BAME,NaN
0.07888660909144679,0.9534883720930233,0.44785276073619634,41,73,2,90,original_BAME,NaN
0.0781947336454025,0.9534883720930233,0.4539877300613497,41,74,2,89,original_BAME,NaN
0.0759961853223729,0.9534883720930233,0.4601226993865031,41,75,2,88,original_BAME,NaN
0.07461015309632113,0.9767441860465116,0.4601226993865031,42,75,1,88,original_BAME,NaN
0.07453019260037766,0.9767441860465116,0.4662576687116564,42,76,1,87,original_BAME,NaN
0.07422881177335568,0.9767441860465116,0.4723926380368098,42,77,1,86,original_BAME,NaN
0.07392877200163023,0.9767441860465116,0.4785276073619632,42,78,1,85,original_BAME,NaN
0.07274337448469795,0.9767441860465116,0.48466257668711654,42,79,1,84,original_BAME,NaN
0.07252832572179191,0.9767441860465116,0.49079754601226994,42,80,1,83,original_BAME,NaN
0.07158255192035104,0.9767441860465116,0.49693251533742333,42,81,1,82,original_BAME,NaN
0.07146468207527289,0.9767441860465116,0.5030674846625767,42,82,1,81,original_BAME,NaN
0.07000704417798789,0.9767441860465116,0.50920245398773,42,83,1,80,original_BAME,NaN
0.06961434880461247,0.9767441860465116,0.5153374233128835,42,84,1,79,original_BAME,NaN
0.06869754196614962,0.9767441860465116,0.5214723926380368,42,85,1,78,original_BAME,NaN
0.06724653878302338,0.9767441860465116,0.5276073619631901,42,86,1,77,original_BAME,NaN
0.06699639000846401,0.9767441860465116,0.5337423312883436,42,87,1,76,original_BAME,NaN
0.06520922730744252,0.9767441860465116,0.5398773006134969,42,88,1,75,original_BAME,NaN
0.0627869779476323,0.9767441860465116,0.5460122699386503,42,89,1,74,original_BAME,NaN
0.06241296143093607,0.9767441860465116,0.5521472392638037,42,90,1,73,original_BAME,NaN
0.060583526801331604,0.9767441860465116,0.558282208588957,42,91,1,72,original_BAME,NaN
0.05963195187389377,1.0,0.558282208588957,43,91,0,72,original_BAME,NaN
0.056837862356584494,1.0,0.5644171779141104,43,92,0,71,original_BAME,NaN
0.05580872791792037,1.0,0.5705521472392638,43,93,0,70,original_BAME,NaN
0.0538181997997385,1.0,0.5766871165644172,43,94,0,69,original_BAME,NaN
0.05338296661286338,1.0,0.5828220858895705,43,95,0,68,original_BAME,NaN
0.05317653126277203,1.0,0.588957055214724,43,96,0,67,original_BAME,NaN
0.049000761269559864,1.0,0.5950920245398773,43,97,0,66,original_BAME,NaN
0.04880567507641838,1.0,0.6012269938650306,43,98,0,65,original_BAME,NaN
0.04701444313888963,1.0,0.6073619631901841,43,99,0,64,original_BAME,NaN
0.046980662007007845,1.0,0.6134969325153374,43,100,0,63,original_BAME,NaN
0.0460404980594868,1.0,0.6196319018404908,43,101,0,62,original_BAME,NaN
0.043471689003955004,1.0,0.6257668711656442,43,102,0,61,original_BAME,NaN
0.0395274500438357,1.0,0.6319018404907976,43,103,0,60,original_BAME,NaN
0.03730574516508078,1.0,0.6380368098159509,43,104,0,59,original_BAME,NaN
0.036575951797545685,1.0,0.6441717791411042,43,105,0,58,original_BAME,NaN
0.03601315561126419,1.0,0.6503067484662577,43,106,0,57,original_BAME,NaN
0.034952864086026394,1.0,0.656441717791411,43,107,0,56,original_BAME,NaN
0.034656517127828,1.0,0.6625766871165644,43,108,0,55,original_BAME,NaN
0.03451357669235436,1.0,0.6687116564417178,43,109,0,54,original_BAME,NaN
0.03414707764833595,1.0,0.6748466257668712,43,110,0,53,original_BAME,NaN
